"method","animal","dims","resolution","cluster","cell_count","silhouette_score","is_small_cluster","average_silhouette_score"
"LogNormalize","merged",10,0.3,5,2962,0.229175505442744,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,6,2458,0.0793999291248347,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,7,1729,0.198499491920576,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,8,1603,0.18794397390569,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,9,1537,0.265117846880971,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,10,1120,0.0117740478626693,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,11,615,-0.0910853129560849,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,12,480,0.198758897740265,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,13,306,-0.189633717509212,FALSE,0.244899489890387
"LogNormalize","merged",10,0.5,0,5268,NA,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,1,4834,0.175617520021684,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,2,4650,0.341658436833191,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,3,3618,0.45472198566661,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,4,3569,0.102053231188093,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,5,3248,0.233909724804768,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,6,2829,0.213564161832627,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,7,2471,0.0988229633155644,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,8,1742,0.194486492647813,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,9,1607,0.183776447948499,FALSE,0.212388413661969
"LogNormalize","merged",10,0.5,10,1523,0.26500308474234,FALSE,0.212388413661969
