"cluster","animal","n_DEGs","dims","resolution"
"C14","animal26",15543,"25","0.75"
"C14","animal27",3267,"25","0.75"
"C14","animal28",75537,"25","0.75"
"C15","animal25",21321,"25","0.75"
"C15","animal26",9064,"25","0.75"
"C15","animal27",27089,"25","0.75"
"C15","animal28",20806,"25","0.75"
"C16","animal25",14256,"25","0.75"
"C16","animal26",12672,"25","0.75"
"C16","animal27",3894,"25","0.75"
"C16","animal28",6996,"25","0.75"
"C17","animal25",16875,"25","0.75"
"C17","animal26",5850,"25","0.75"
"C17","animal27",50850,"25","0.75"
"C17","animal28",17775,"25","0.75"
"C18","animal25",4410,"25","0.75"
"C18","animal26",4410,"25","0.75"
"C18","animal27",21756,"25","0.75"
"C18","animal28",2352,"25","0.75"
"C19","animal25",10293,"25","0.75"
"C19","animal26",1974,"25","0.75"
"C19","animal27",8178,"25","0.75"
"C19","animal28",7332,"25","0.75"
"C2","animal25",31086,"25","0.75"
"C2","animal26",32175,"25","0.75"
"C2","animal27",16038,"25","0.75"
"C2","animal28",292842,"25","0.75"
"C3","animal25",180200,"25","0.75"
"C3","animal26",28000,"25","0.75"
"C3","animal27",108600,"25","0.75"
"C3","animal28",306200,"25","0.75"
"C4","animal25",68855,"25","0.75"
"C4","animal26",154160,"25","0.75"
"C4","animal27",52875,"25","0.75"
"C4","animal28",430755,"25","0.75"
"C5","animal25",488444,"25","0.75"
"C5","animal26",444040,"25","0.75"
"C5","animal27",122764,"25","0.75"
"C5","animal28",1928962,"25","0.75"
"C6","animal25",66792,"25","0.75"
"C6","animal26",10285,"25","0.75"
"C6","animal27",13310,"25","0.75"
"C6","animal28",182468,"25","0.75"
"C7","animal25",130150,"25","0.75"
"C7","animal26",60006,"25","0.75"
"C7","animal27",223584,"25","0.75"
"C7","animal28",192348,"25","0.75"
