"animal","condition","avg_expression","percent_expressed","marker","group"
"Animal28","nkp46-",0.00478781011205406,0.286478947566814,"IL18RAP","cytokine_receptors"
"Animal52","nkp46+",0.0227871896397088,0.885628366544397,"IL18RAP","cytokine_receptors"
"Animal52","nkp46-",0.0191199554555743,1.36658694909464,"IL18RAP","cytokine_receptors"
"Animal25","nkp46+",1.07647404329461,55.6806102669918,"IL2RB","cytokine_receptors"
"Animal25","nkp46-",0.176039030692556,6.39708942500033,"IL2RB","cytokine_receptors"
"Animal26","nkp46+",0.961567159277689,48.2982483097726,"IL2RB","cytokine_receptors"
"Animal26","nkp46-",0.389484253735694,22.8183818137375,"IL2RB","cytokine_receptors"
"Animal27","nkp46+",0.846250128352514,34.64025869038,"IL2RB","cytokine_receptors"
"Animal27","nkp46-",0.350768720997472,14.1863829390079,"IL2RB","cytokine_receptors"
"Animal28","nkp46+",1.62665856979328,78.7139314697926,"IL2RB","cytokine_receptors"
"Animal28","nkp46-",0.270165289517934,14.5011119906517,"IL2RB","cytokine_receptors"
"Animal52","nkp46+",1.13667848904212,40.7174250685701,"IL2RB","cytokine_receptors"
"Animal52","nkp46-",1.16694171631245,55.2442774171507,"IL2RB","cytokine_receptors"
"Animal25","nkp46+",0.176389971650508,11.1673857312574,"IL10RB","cytokine_receptors"
"Animal25","nkp46-",0.122899072799444,4.54575966275995,"IL10RB","cytokine_receptors"
"Animal26","nkp46+",0.167400298711422,10.0030731407498,"IL10RB","cytokine_receptors"
"Animal26","nkp46-",0.344977180808448,21.7061843070154,"IL10RB","cytokine_receptors"
"Animal27","nkp46+",0.0861301449519417,4.05214227970897,"IL10RB","cytokine_receptors"
"Animal27","nkp46-",0.153355163956367,6.62186756264875,"IL10RB","cytokine_receptors"
"Animal28","nkp46+",0.12083782139168,8.93823264201984,"IL10RB","cytokine_receptors"
"Animal28","nkp46-",0.200157571425454,10.9050473067209,"IL10RB","cytokine_receptors"
"Animal52","nkp46+",0.0790009096741727,3.07161032351872,"IL10RB","cytokine_receptors"
"Animal52","nkp46-",0.207148222523276,12.606764605398,"IL10RB","cytokine_receptors"
"Animal25","nkp46+",0.113218143485286,7.03432751828925,"CD69","activation"
